name,category,phone,address,rating,website,google_maps_url
The Bikers Cafe,cafe,+919674565455,"Platinum mall, 31, Elgin Rd, Bhowanipore",4.5,None,https://maps.google.com/?q=The Bikers Cafe
Motherland Cafe,cafe,+919748077790,"Block-D, A/3 Dr. Md. Ishaque Road",4.5,None,https://maps.google.com/?q=Motherland Cafe
Blue Mug Cafe,cafe,+916290441067,"1/243A, 40, Jodhpur Park Rd",4.5,None,https://maps.google.com/?q=Blue Mug Cafe
Café By The Lane,cafe,+919836353876,7 Lake Terrace Road Ballygunj,4.5,None,https://maps.google.com/?q=Café By The Lane
Art Cafe,cafe,+919830302247,"19C, Dr.Sarat Banerjee Rd, Lake Market",4.5,None,https://maps.google.com/?q=Art Cafe
Wise Owl The Coffee Shop,cafe,+917044350606,"66/2 B, Purna Das Rd",4.5,None,https://maps.google.com/?q=Wise Owl The Coffee Shop
Abar Baithak The coffee shop,cafe,+913340036777,"282, Jodhpur Park Rd",4.5,None,https://maps.google.com/?q=Abar Baithak The coffee shop
The Tavern Cafe,cafe,+916289949583,"188/104, Prince Anwar Shah Road",4.5,None,https://maps.google.com/?q=The Tavern Cafe
Kolkata Noy,cafe,+919830075717,"292, Acharya Prafulla Chandra Rd",4.5,None,https://maps.google.com/?q=Kolkata Noy
The Time Pass Cafe,cafe,+919836066305,"48-A, Dakshin Raipur, Garia",4.5,None,https://maps.google.com/?q=The Time Pass Cafe
